image_id,component_count,relation_count
hiero_0898,1,0
hiero_0899,1,0
hiero_0900,1,0
hiero_0901,1,0
hiero_0902,1,0
hiero_0903,2,1
hiero_0904,3,3
hiero_0905,4,6
hiero_0906,5,10
hiero_0907,6,15
hiero_0908,7,21
hiero_0909,8,28
hiero_0910,9,36
hiero_0911,2,1
hiero_0912,3,3
hiero_0913,4,6
hiero_0914,5,10
hiero_0915,1,0
hiero_0916,1,0
hiero_0917,1,0
hiero_0918,1,0
hiero_0919,1,0
hiero_0920,1,0
hiero_0921,1,0
hiero_0922,1,0
hiero_0923,1,0
hiero_0924,1,0
hiero_0925,1,0
hiero_0926,1,0
hiero_0927,1,0
hiero_0928,1,0
hiero_0929,1,0
hiero_0930,1,0
hiero_0931,1,0
hiero_0932,1,0
hiero_0933,1,0
hiero_0934,1,0
hiero_0935,1,0
hiero_0936,1,0
hiero_0937,1,0
hiero_0938,1,0
hiero_0939,1,0
hiero_0940,1,0
hiero_0941,1,0
hiero_0942,2,1
hiero_0943,1,0
hiero_0944,1,0
hiero_0945,1,0
hiero_0946,1,0
hiero_0947,1,0
hiero_0948,1,0
hiero_0949,1,0
hiero_0950,1,0
hiero_0951,1,0
hiero_0952,1,0
hiero_0953,1,0
hiero_0954,1,0
hiero_0955,1,0
hiero_0956,2,1
hiero_0957,1,0
hiero_0958,1,0
hiero_0959,1,0
hiero_0960,3,3
hiero_0961,1,0
hiero_0962,1,0
hiero_0963,1,0
hiero_0964,1,0
hiero_0965,1,0
hiero_0966,1,0
hiero_0967,1,0
hiero_0968,1,0
hiero_0969,1,0
hiero_0970,1,0
hiero_0971,1,0
hiero_0972,1,0
hiero_0973,3,3
hiero_0974,1,0
hiero_0975,1,0
hiero_0976,1,0
hiero_0977,1,0
hiero_0978,1,0
hiero_0979,1,0
hiero_0980,1,0
hiero_0981,1,0
hiero_0982,1,0
hiero_0983,1,0
hiero_0984,1,0
hiero_0985,1,0
hiero_0986,1,0
hiero_0987,1,0
hiero_0988,1,0
hiero_0989,1,0
hiero_0990,3,3
hiero_0991,3,3
hiero_0992,1,0
hiero_0993,1,0
hiero_0994,1,0
hiero_0995,1,0
hiero_0996,1,0
